state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id,attributes_id,origin_idx,context_id,context_user_id,context_parent_id,last_updated_ts,last_changed_ts
231666652,NULL,sensor.water_tank_liters,8482,NULL,NULL,NULL,NULL,NULL,231666584,29,0,01GSGRRMX2P01AEYNPK55PEQ3V,NULL,NULL,1676673831.84274,NULL
241220415,NULL,sensor.water_tank_liters,8482,NULL,NULL,NULL,NULL,NULL,241220337,29,0,01GV09N9MYXC99SA1Q4G7X2P29,NULL,NULL,1678268606.11221,NULL
236955931,NULL,sensor.water_tank_liters,8008,NULL,NULL,NULL,NULL,NULL,236955836,29,0,01GTBK0C4NR7JH0YMRB1CHV3HE,NULL,NULL,1677573763.22198,NULL
231262664,NULL,sensor.water_tank_liters,3975,NULL,NULL,NULL,NULL,NULL,231262599,29,0,01GSET5H9JSQXRR05JPE9MCDFD,NULL,NULL,1676608193.84321,NULL
229911763,NULL,sensor.water_tank_liters,7386,NULL,NULL,NULL,NULL,NULL,229911666,29,0,01GS8D25A7FZS5ZXGGFB9374B5,NULL,NULL,1676393125.19282,NULL
214328515,NULL,sensor.water_tank_liters,8918,NULL,NULL,NULL,2023-01-12 22:30:14.538035,NULL,214328460,29,0,01GPM1NTR8ZK9YJAG1NHFZK566,NULL,NULL,1673562614.53804,NULL
222206902,NULL,sensor.water_tank_liters,8920,NULL,NULL,NULL,2023-01-30 13:27:42.923282,NULL,222206816,29,0,01GR1DSC2AHJYD4K3QR6NSC7CA,NULL,NULL,1675085262.92328,NULL
215238854,NULL,sensor.water_tank_liters,8919,NULL,NULL,NULL,2023-01-15 01:01:19.040712,NULL,215238797,29,0,01GPSF3WSZ2KV12877N3PA3VPS,NULL,NULL,1673744479.04071,NULL
215702254,NULL,sensor.water_tank_liters,8916,NULL,NULL,NULL,2023-01-16 04:19:01.005726,NULL,215702185,29,0,01GPWCTKRC0YTFZGZ67DC073EJ,NULL,NULL,1673842741.00573,NULL
214407818,NULL,sensor.water_tank_liters,8909,NULL,NULL,NULL,2023-01-13 02:42:54.098165,NULL,214407766,29,0,01GPMG4F0GQAGXWWF516T0TPGT,NULL,NULL,1673577774.09817,NULL
214426198,NULL,sensor.water_tank_liters,8907,NULL,NULL,NULL,2023-01-13 03:39:54.028323,NULL,214426125,29,0,01GPMKCTSBKAK61XMZ64WYJWZ8,NULL,NULL,1673581194.02832,NULL
226006897,NULL,sensor.water_tank_liters,6373,NULL,NULL,NULL,NULL,NULL,226006780,29,0,01GRNEEGSKRG4ES943JEABNZ43,NULL,NULL,1675757044.53318,NULL
234613667,NULL,sensor.water_tank_liters,8909,NULL,NULL,NULL,NULL,NULL,234613619,29,0,01GT059JJXEPNK0J28638N9ECP,NULL,NULL,1677190285.91879,NULL
